17,3
18,3
22,3
14,18
23,23
22,28
14,3
0,3
5,28
14,6
23,25
23,6
3,3
25,3
16,3
17,18
21,3
3,18
10,6
14,18
25,3
0,28
26,21
17,28
14,3
3,21
3,13
10,3
10,28
23,22
18,16
22,28
18,28
0,28
25,13
3,11
22,28
14,3
3,18
20,3
0,28
3,26
17,28
24,3
18,3
17,3
18,3
3,16
10,3
23,3
3,21
23,13
22,0
3,14
0,28
14,3
3,3
17,6
12,6
26,19
14,24
0,28
22,28
8,18
5,3
6,21
3,18
25,6
6,24
13,3
0,13
18,14
2,3
17,18
10,3
17,3
17,3
18,3
18,15
3,3
13,28
3,3
18,15
10,17
3,24
3,3
12,28
17,28
10,18
14,24
3,3
6,6
10,18
10,19
0,3
6,3
3,3
0,17
6,22
3,24
