6,0
25,0
11,6
12,14
26,16
6,6
23,16
7,8
11,24
11,24
11,17
4,24
11,24
11,20
11,6
4,24
11,3
11,24
15,24
17,10
25,0
11,16
11,16
11,19
26,16
11,16
11,0
11,24
4,6
11,22
26,22
4,24
11,16
14,19
11,0
20,0
11,6
11,8
11,0
11,19
11,16
11,0
11,24
11,24
11,16
6,8
4,19
6,19
4,0
4,8
11,0
17,26
11,24
11,4
14,16
4,24
11,0
11,22
6,0
25,3
4,24
6,0
11,16
7,24
4,8
6,24
11,24
25,27
11,3
4,22
11,6
11,0
11,18
25,5
11,24
4,24
11,24
11,24
6,22
14,0
4,22
25,26
4,8
7,11
11,19
11,24
11,24
4,24
11,24
11,0
4,24
4,16
2,8
4,0
4,24
11,0
11,24
11,0
11,0
4,0
