0,2
0,14
0,17
0,17
14,0
10,14
6,7
1,12
0,12
1,10
1,14
17,14
28,21
28,14
18,14
9,14
0,2
29,5
0,17
17,0
1,2
0,2
6,10
1,17
1,12
0,14
0,2
20,12
12,4
6,12
1,20
1,21
1,14
15,4
10,7
0,12
1,14
1,14
1,2
7,7
6,27
10,28
1,2
0,14
17,12
1,20
6,4
0,28
14,17
1,4
1,2
0,25
28,28
29,5
15,15
1,7
1,6
20,10
0,1
6,18
28,4
0,20
17,20
1,7
0,12
15,14
6,7
1,2
0,20
0,14
20,14
6,6
6,14
0,0
1,4
6,10
1,6
29,7
18,4
20,4
17,17
6,0
11,0
11,12
8,20
11,12
29,13
17,2
20,12
0,27
0,20
0,0
0,20
17,12
17,6
0,4
0,4
18,17
1,5
17,4
