20,4
1,15
2,25
0,6
9,17
7,28
0,4
0,18
20,18
6,18
0,12
26,7
21,18
9,17
15,12
0,25
21,18
20,15
26,18
0,18
25,19
4,19
17,26
11,19
6,9
25,13
9,22
7,18
29,24
6,25
0,4
10,24
7,17
21,1
23,19
12,14
9,18
18,24
9,12
9,18
0,24
21,8
0,15
0,4
0,18
7,1
18,22
20,22
4,9
14,12
26,24
15,0
9,4
25,9
0,13
26,12
0,18
9,4
2,4
25,12
0,0
4,19
1,26
25,9
4,12
7,18
26,18
17,23
9,13
26,11
11,26
7,16
21,28
29,19
0,18
26,24
19,13
9,25
12,10
26,26
7,15
1,16
9,10
21,12
17,26
29,24
21,24
4,19
16,12
21,1
1,15
9,18
9,18
1,15
2,24
21,26
7,4
17,9
0,26
26,6
