15,25
22,21
24,6
24,15
22,5
24,22
5,5
25,21
12,20
24,27
0,0
11,22
23,5
5,25
19,5
6,23
15,25
10,1
11,18
23,3
19,27
0,12
24,21
5,21
6,24
5,24
24,12
11,6
5,5
24,25
21,21
21,12
22,21
12,11
19,5
5,21
23,10
15,21
5,6
22,12
27,21
5,20
24,21
25,21
15,12
18,18
5,28
26,6
5,6
5,21
26,6
9,21
21,3
6,1
5,23
23,21
6,6
15,15
6,21
5,6
28,21
6,4
5,25
27,20
15,27
10,24
5,27
6,27
27,19
17,5
22,5
5,2
6,13
29,21
6,12
5,6
24,5
24,24
25,21
24,19
24,6
4,6
21,21
3,5
24,6
24,24
28,12
15,21
6,28
22,15
22,21
5,2
15,4
4,24
24,6
15,21
22,21
10,21
21,9
15,4
